id,koder,avis,medieaktoer,valg,laengde,aktoer,institut,medie,stikproeve,ordlyd,usikkerhed,indsamling,metode
61,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",163,1,0,0,0,0,0,0,0
62,"Simon Grundt Straubinger",0,"Berlingske","2005",222,1,1,1,1,1,1,1,1
63,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
64,"Erik Gahner Larsen",0,"Berlingske","2007",149,1,1,1,0,0,0,0,0
64,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",44,1,1,1,0,0,0,0,0
64,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",312,4,1,1,0,0,0,0,0
65,"Simon Grundt Straubinger",1,"Berlingske","2007",292,4,1,1,1,1,0,1,1
66,"Erik Gahner Larsen",1,"Politiken","2005",648,3,1,1,1,1,0,1,1
66,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",320,2,1,1,1,0,0,1,0
66,"Erik Gahner Larsen",0,"Politiken","2011",199,2,0,1,0,0,0,0,0
66,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",216,2,1,1,0,0,0,0,0
67,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",280,3,1,1,0,1,0,0,0
67,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",277,1,1,1,1,0,0,0,1
67,"Simon Grundt Straubinger",1,"Berlingske","2011",447,2,1,1,1,1,0,1,1
67,"Erik Gahner Larsen",0,"Berlingske","2007",354,3,1,0,0,0,0,0,0
68,"Erik Gahner Larsen",1,"Berlingske","2005",111,1,1,1,0,0,0,0,0
68,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",294,1,1,1,0,0,0,0,0
68,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",125,1,1,1,0,0,0,0,0
68,"Erik Gahner Larsen",0,"Berlingske","2007",346,3,1,1,1,1,0,0,0
69,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",127,2,0,1,0,0,0,0,0
69,"Simon Grundt Straubinger",0,"Berlingske","2005",207,1,1,1,0,0,0,0,0
70,"Erik Gahner Larsen",1,"Berlingske","2005",67,1,1,1,0,0,0,1,0
70,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",266,1,1,1,1,0,0,0,0
71,"Simon Grundt Straubinger",0,"Berlingske","2011",351,1,1,1,1,0,1,1,1
71,"Erik Gahner Larsen",1,"Politiken","2005",181,1,1,1,1,1,0,1,1
71,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",203,1,1,1,0,0,0,0,0
71,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",144,2,1,1,0,0,0,0,0
72,"Simon Grundt Straubinger",1,"Berlingske","2007",360,3,1,1,0,0,0,0,0
72,"Simon Grundt Straubinger",0,"Berlingske","2011",316,1,1,1,0,0,0,0,0
72,"Simon Grundt Straubinger",0,"Berlingske","2005",274,1,1,1,1,0,0,1,1
73,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",374,2,1,1,0,1,0,0,0
73,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",313,1,1,1,0,0,0,0,0
73,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",126,1,1,1,1,0,0,1,0
73,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",201,1,1,1,1,0,0,0,0
73,"Simon Grundt Straubinger",0,"Berlingske","2011",406,1,1,1,1,0,1,1,1
73,"Erik Gahner Larsen",1,"Berlingske","2005",67,1,1,1,0,0,0,1,0
74,"Erik Gahner Larsen",0,"Politiken","2011",219,1,1,1,0,0,0,0,0
74,"Simon Grundt Straubinger",1,"Politiken","2007",785,3,1,1,1,1,0,1,1
74,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",186,1,1,1,1,0,0,1,0
74,"Erik Gahner Larsen",0,"Berlingske","2007",284,3,1,1,1,0,0,1,1
74,"Erik Gahner Larsen",1,"Politiken","2005",193,1,1,1,1,1,0,1,1
74,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",642,2,1,1,1,1,0,1,1
75,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",166,1,1,1,0,0,0,0,0
76,"Erik Gahner Larsen",0,"Politiken","2011",147,1,1,1,0,0,0,0,0
76,"Simon Grundt Straubinger",0,"Berlingske","2011",306,1,1,1,1,0,1,1,1
76,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",137,1,1,1,1,0,0,1,0
77,"Simon Grundt Straubinger",1,"Berlingske","2007",509,3,1,1,1,1,0,1,1
77,"Erik Gahner Larsen",0,"Berlingske","2007",368,2,1,1,1,0,0,1,1
77,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",225,3,1,1,0,0,0,0,0
77,"Erik Gahner Larsen",1,"Berlingske","2005",364,2,1,1,1,1,0,1,1
78,"Simon Grundt Straubinger",0,"Berlingske","2005",189,1,1,1,0,0,0,0,0
78,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",175,1,1,1,0,0,0,0,0
78,"Erik Gahner Larsen",0,"Berlingske","2007",150,2,1,0,0,0,0,0,0
78,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",66,1,1,1,0,0,0,0,0
79,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",501,2,1,1,0,0,0,0,0
79,"Simon Grundt Straubinger",0,"Berlingske","2011",346,2,1,1,0,0,0,0,0
79,"Erik Gahner Larsen",1,"Berlingske","2005",66,1,1,1,0,0,0,1,0
79,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",514,2,1,1,0,0,0,0,0
80,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",316,1,1,1,1,1,1,1,0
80,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",72,1,1,1,0,0,0,1,0
80,"Simon Grundt Straubinger",0,"Berlingske","2011",396,3,1,1,1,1,1,1,1
81,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",228,2,1,1,0,0,0,0,0
82,"Erik Gahner Larsen",1,"Politiken","2011",201,1,1,1,1,0,1,1,0
82,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",272,3,1,1,0,0,0,0,0
82,"Simon Grundt Straubinger",1,"Berlingske","2007",191,1,1,1,1,1,0,1,1
82,"Erik Gahner Larsen",0,"Berlingske","2007",169,1,1,1,0,0,0,1,0
83,"Erik Gahner Larsen",1,"Berlingske","2005",408,4,1,0,0,0,0,0,0
84,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",186,1,1,1,1,0,1,0,0
84,"Simon Grundt Straubinger",0,"Berlingske","2011",179,1,1,1,1,1,1,1,1
85,"Erik Gahner Larsen",1,"Berlingske","2005",105,1,1,1,0,0,0,0,0
85,"Simon Grundt Straubinger",0,"Berlingske","2011",237,4,1,1,0,0,0,0,0
85,"Simon Grundt Straubinger",1,"Berlingske","2007",387,1,1,1,1,1,0,1,0
86,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",345,1,1,1,0,0,0,0,0
86,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",136,1,1,1,0,0,0,0,0
87,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",279,1,1,1,1,0,0,1,0
87,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",604,2,1,1,0,0,0,0,0
